,experiment,measurement,replication,module,name,value_stored,value_current,relative_error
29354,General,,#0,AutomaticMultipathConfigurationShowcase.s3b.bridging.streamCoder.decoder,outgoingDataRate:vector:min,46131318.881919824,0,-inf
26300,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedPacketLengths:vector:count,135,0,-inf
26286,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedDataRate:vector:sum,29198102.43978139,0,-inf
26288,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedPacketLengths:histogram:count,135,0,-inf
26295,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedPacketLengths:histogram:rangemin,10047,0,-inf
26297,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedPacketLengths:histogram:sumweights,135,0,-inf
20819,General,,#0,AutomaticMultipathConfigurationShowcase.s2b.eth[1].phyLayer.outboundEmitter,incomingDataRate:vector:min,49576691.194582157,0,-inf
26299,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedPacketLengths:sum,1356480,0,-inf
26307,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedPacketLengths:vector:sum,1356480,0,-inf
26282,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedDataRate:vector:mean,14599051.219890695,0,-inf
26308,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedPacketLengths:vector:sumweights,135,0,-inf
26309,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedPackets:count,135,0,-inf
30447,General,,#0,AutomaticMultipathConfigurationShowcase.s3b.eth[0].macLayer.server,outgoingDataRate:vector:min,47183173.058380537,0,-inf
10813,General,,#0,AutomaticMultipathConfigurationShowcase.s1.ethernet.paddingInserter,outgoingDataRate:vector:min,120647299.32109077,0,-inf
30669,General,,#0,AutomaticMultipathConfigurationShowcase.s3b.eth[0].phyLayer.outboundEmitter,incomingDataRate:vector:min,47483702.823083602,0,-inf
10782,General,,#0,AutomaticMultipathConfigurationShowcase.s1.ethernet.paddingInserter,incomingDataRate:vector:min,120647299.32109077,0,-inf
26283,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedDataRate:vector:min,12788902.024607435,0,-inf
3541,General,,#0,AutomaticMultipathConfigurationShowcase.destination.eth[1].phyLayer.receiver,throughput:vector:min,47483702.823083602,0,-inf
20597,General,,#0,AutomaticMultipathConfigurationShowcase.s2b.eth[1].macLayer.server,outgoingDataRate:vector:min,49262914.668034174,0,-inf
35240,General,,#0,AutomaticMultipathConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:histogram:max,0.00080014241399999997,0,-inf
35253,General,,#0,AutomaticMultipathConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:vector:mean,0.00018388492797148887,0,-inf
35252,General,,#0,AutomaticMultipathConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:vector:max,0.00080014241399999997,0,-inf
10996,General,,#0,AutomaticMultipathConfigurationShowcase.s1.ieee8021q.qTagHeaderChecker,outgoingDataRate:vector:min,64576511.573534459,0,-inf
35247,General,,#0,AutomaticMultipathConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:histogram:stddev,0.00016935065598650613,0,-inf
35246,General,,#0,AutomaticMultipathConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:histogram:rangemin,0,-0.5,-inf
35241,General,,#0,AutomaticMultipathConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:histogram:mean,0.00018388492797148887,0,-inf
30416,General,,#0,AutomaticMultipathConfigurationShowcase.s3b.eth[0].macLayer.server,incomingDataRate:vector:min,47183173.058380537,0,-inf
26281,General,,#0,AutomaticMultipathConfigurationShowcase.s3a.eth[1].macLayer.fcsChecker,droppedDataRate:vector:max,16409200.415173955,0,-inf
35229,General,,#0,AutomaticMultipathConfigurationShowcase.source.eth[0].macLayer.queue,queueLength:timeavg,1.7413902678900024,0,-inf
3529,General,,#0,AutomaticMultipathConfigurationShowcase.destination.eth[1].phyLayer.receiver,throughput:histogram:min,47483702.823083602,0,-inf
3533,General,,#0,AutomaticMultipathConfigurationShowcase.destination.eth[1].phyLayer.receiver,throughput:histogram:rangemin,42500000,0,-inf
20850,General,,#0,AutomaticMultipathConfigurationShowcase.s2b.eth[1].phyLayer.outboundEmitter,outgoingDataRate:vector:min,49576691.194582157,0,-inf
10965,General,,#0,AutomaticMultipathConfigurationShowcase.s1.ieee8021q.qTagHeaderChecker,incomingDataRate:vector:min,64786858.516770728,0,-inf
35217,General,,#0,AutomaticMultipathConfigurationShowcase.source.eth[0].macLayer.queue,queueBitLength:timeavg,17497.489411758736,0,-inf
30700,General,,#0,AutomaticMultipathConfigurationShowcase.s3b.eth[0].phyLayer.outboundEmitter,outgoingDataRate:vector:min,47483702.823083602,0,-inf
10691,General,,#0,AutomaticMultipathConfigurationShowcase.s1.ethernet.macHeaderInserter,outgoingDataRate:vector:min,120647299.32109077,0,-inf
35257,General,,#0,AutomaticMultipathConfigurationShowcase.source.eth[0].macLayer.queue,queueingTime:vector:sum,0.17413902678899995,0,-inf
31222,General,,#0,AutomaticMultipathConfigurationShowcase.s3b.eth[1].macLayer.fcsChecker,droppedPacketLengths:histogram:sumweights,134,0,-inf
31208,General,,#0,AutomaticMultipathConfigurationShowcase.s3b.eth[1].macLayer.fcsChecker,droppedDataRate:vector:min,12774307.653390864,0,-inf
31211,General,,#0,AutomaticMultipathConfigurationShowcase.s3b.eth[1].macLayer.fcsChecker,droppedDataRate:vector:sum,26490530.420019709,0,-inf
5277,General,,#0,AutomaticMultipathConfigurationShowcase.s1.bridging.directionReverser.reverser,outgoingDataRate:vector:min,64576511.573534459,0,-inf
31213,General,,#0,AutomaticMultipathConfigurationShowcase.s3b.eth[1].macLayer.fcsChecker,droppedPacketLengths:histogram:count,134,0,-inf
