,experiment,measurement,replication,module,name,value_stored,value_current,absolute_error,relative_error
201,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac,packetSentToLower:sum(packetBytes),0,106400,106400,inf
167,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf,packetReceivedFromPeerUnicast:count,0,99,99,inf
350,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host2.wlan[0].radio,minSnir:histogram:count,0,99,99,inf
254,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.app[0],packetSent:sum(packetBytes),0,100000,100000,inf
253,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.app[0],packetSent:count,0,100,100,inf
249,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.app[0],packets sent,0,100,100,inf
245,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.udp,packetSent:sum(packetBytes),0,100800,100800,inf
244,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.udp,packetSent:count,0,100,100,inf
223,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].radio,transmissionState:count,0,398,398,inf
500,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].radio,minSnir:histogram:rangemin,0,448.74,448.74,inf
203,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac,packetReceivedFromUpper:sum(packetBytes),0,103600,103600,inf
202,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac,packetReceivedFromUpper:count,0,100,100,inf
28,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host2.wlan[0].mac.dcf.recipientMacDataService,packetDefragmented:count,0,99,99,inf
200,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac,packetSentToLower:count,0,100,100,inf
199,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac,packetReceivedFromLower:sum(packetBytes),0,1386,1386,inf
198,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac,packetReceivedFromLower:count,0,99,99,inf
188,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf,packetSentToPeerWithoutRetry:sum(packetBytes),0,105336,105336,inf
187,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf,packetSentToPeerWithoutRetry:count,0,99,99,inf
180,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf,packetSentToPeerUnicast:sum(packetBytes),0,105336,105336,inf
179,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf,packetSentToPeerUnicast:count,0,99,99,inf
178,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf,packetSentToPeer:sum(packetBytes),0,105336,105336,inf
177,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf,packetSentToPeer:count,0,99,99,inf
176,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf,packetReceivedFromPeerWithoutRetry:sum(packetBytes),0,1386,1386,inf
351,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host2.wlan[0].radio,minSnir:histogram:sumweights,0,99,99,inf
494,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].radio,minSnir:histogram:sumweights,0,99,99,inf
357,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host2.wlan[0].radio,minSnir:histogram:rangemin,0,448.74,448.74,inf
461,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf,frameSequenceDuration:histogram:sumweights,0,99,99,inf
449,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf.channelAccess.inProgressFrames,queueingTime:histogram:count,0,99,99,inf
439,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingPacketLengths:histogram:sumweights,0,100,100,inf
438,DisplayingSignalsTransmissionsReceptions,,#0,MediumActivityDisplayingSignalsTransmissionsReceptionsShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingPacketLengths:histogram:count,0,100,100,inf
