,experiment,measurement,replication,module,name,value_stored,value_current,absolute_error,relative_error
313,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.wlan[0].mac.dcf,packetDropNotAddressedToUs:sum(packetBytes),0,1386,1386,inf
775,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.app[0],endToEndDelay:histogram:count,0,99,99,inf
321,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.wlan[0].mac,packetSentToLower:count,0,99,99,inf
322,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.wlan[0].mac,packetSentToLower:sum(packetBytes),0,1386,1386,inf
325,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.wlan[0].mac,packetSentToUpper:count,0,99,99,inf
326,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.wlan[0].mac,packetSentToUpper:sum(packetBytes),0,102564,102564,inf
327,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.wlan[0].mac,packetDrop:count,0,99,99,inf
328,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.wlan[0].mac,packetDrop:sum(packetBytes),0,1386,1386,inf
331,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.wlan[0].mac,packetDropNotAddressedToUs:count,0,99,99,inf
332,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.wlan[0].mac,packetDropNotAddressedToUs:sum(packetBytes),0,1386,1386,inf
344,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.wlan[0].radio,transmissionState:count,0,396,396,inf
743,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.wlan[0].radio,packetErrorRate:histogram:sumweights,0,198,198,inf
363,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.udp,packetReceived:count,0,99,99,inf
364,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.udp,packetReceived:sum(packetBytes),0,99792,99792,inf
367,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.udp,passedUpPk:count,0,99,99,inf
370,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.app[0],packetReceived:count,0,99,99,inf
371,MultipleNodes,,#0,MediumActivityMultipleNodesShowcase.destination.app[0],packetReceived:sum(packetBytes),0,99000,99000,inf
